i_name,v_count,e_count,size1,time1,size2,time2
frb30-15-1,450,17827,12,900.015,12,0.892
frb30-15-2,450,17874,11,900.101,12,0.269
frb30-15-3,450,17809,12,900.002,13,0.165
frb30-15-4,450,17831,12,900.033,12,0.166
frb30-15-5,450,17794,12,900.047,13,0.174
frb35-17-1,595,27856,14,900.004,14,2.143
frb35-17-2,595,27847,14,900.01,15,2.061
frb35-17-3,595,27931,14,900.023,14,2.337
frb35-17-4,595,27842,14,900.14,15,2.017
frb35-17-5,595,28143,,,14,2.033
frb40-19-1,760,41314,,,17,0.8
frb40-19-2,760,41263,,,17,0.761
frb40-19-3,760,41095,,,17,0.762
frb40-19-4,760,41605,,,17,0.793
frb40-19-5,760,41619,,,16,0.871
frb45-21-1,945,59186,,,18,2.639
frb45-21-2,945,58624,,,19,2.59
frb45-21-3,945,58245,,,18,2.592
frb45-21-4,945,58549,,,19,2.58
frb45-21-5,945,58579,,,19,2.603
